,team,games,errors,pick_offs,putouts,assists,double_plays,fielding_pct,passed_balls,stolen_bases,caught_stealing,cs_percent,year,win,lose,draw,win_rate,rank,errors_per_game,pick_offs_per_game,putouts_per_game,assists_per_game,double_plays_per_game,passed_balls_per_game,predicted_win_rate,residual
132,Incheon,144,123,7,3822,1691,149,0.978,4,106,64,37.6,2016,69,75,0,0.479,6,0.8541666666666666,0.04861111111111111,26.541666666666668,11.743055555555555,1.0347222222222223,0.027777777777777776,0.4747155193109007,0.004284480689099257
133,Samsung Lions,144,90,12,3847,1410,140,0.983,8,115,58,33.5,2016,65,78,1,0.455,9,0.625,0.08333333333333333,26.71527777777778,9.791666666666666,0.9722222222222222,0.05555555555555555,0.5088326569383765,-0.05383265693837652
134,Doosan Bears,144,90,9,3864,1468,138,0.983,5,64,36,36.0,2017,84,57,3,0.596,2,0.625,0.0625,26.833333333333332,10.194444444444445,0.9583333333333334,0.034722222222222224,0.53203231052506,0.06396768947494003
135,Hanwha Eagles,144,91,4,3819,1500,151,0.983,11,78,42,35.0,2017,61,81,2,0.43,8,0.6319444444444444,0.027777777777777776,26.520833333333332,10.416666666666666,1.0486111111111112,0.0763888888888889,0.47062146279560313,-0.040621462795603136
136,KT Wiz,144,112,6,3768,1460,134,0.979,10,109,43,28.3,2017,50,94,0,0.347,10,0.7777777777777778,0.041666666666666664,26.166666666666668,10.13888888888889,0.9305555555555556,0.06944444444444445,0.4010225020355529,-0.05402250203555292
137,Kia Tigers,144,98,4,3870,1498,153,0.982,12,69,45,39.5,2017,87,56,1,0.608,1,0.6805555555555556,0.027777777777777776,26.875,10.402777777777779,1.0625,0.08333333333333333,0.5402204235556542,0.06777957644434573
138,LG Twins,144,103,12,3837,1434,127,0.981,9,62,37,37.4,2017,69,72,3,0.489,6,0.7152777777777778,0.08333333333333333,26.645833333333332,9.958333333333334,0.8819444444444444,0.0625,0.49518580188738603,-0.006185801887386044
139,Lotte Giants,144,86,10,3862,1514,132,0.984,14,87,45,34.1,2017,80,62,2,0.563,3,0.5972222222222222,0.06944444444444445,26.819444444444443,10.51388888888889,0.9166666666666666,0.09722222222222222,0.5293029395148618,0.0336970604851381
140,NC Dinos,144,108,4,3854,1432,134,0.98,4,64,42,39.6,2017,79,62,3,0.56,4,0.75,0.027777777777777776,26.76388888888889,9.944444444444445,0.9305555555555556,0.027777777777777776,0.5183854554740694,0.04161454452593061
141,Heroes,144,91,7,3813,1424,125,0.983,8,73,43,37.1,2017,69,73,2,0.486,7,0.6319444444444444,0.04861111111111111,26.479166666666668,9.88888888888889,0.8680555555555556,0.05555555555555555,0.4624333497650097,0.023566650234990272
142,Incheon,144,108,15,3812,1552,139,0.98,8,80,39,32.8,2017,75,68,1,0.524,5,0.75,0.10416666666666667,26.47222222222222,10.777777777777779,0.9652777777777778,0.05555555555555555,0.4610686642599102,0.0629313357400898
143,Samsung Lions,144,95,6,3844,1454,152,0.982,14,64,35,35.4,2017,55,84,5,0.396,9,0.6597222222222222,0.041666666666666664,26.694444444444443,10.097222222222221,1.0555555555555556,0.09722222222222222,0.5047386004230789,-0.10873860042307892
144,Doosan Bears,144,77,2,3866,1403,147,0.986,8,68,43,38.7,2018,93,51,0,0.646,1,0.5347222222222222,0.013888888888888888,26.84722222222222,9.743055555555555,1.0208333333333333,0.05555555555555555,0.534761681535258,0.11123831846474197
145,Hanwha Eagles,144,99,10,3822,1397,141,0.981,11,83,41,33.1,2018,77,67,0,0.535,3,0.6875,0.06944444444444445,26.541666666666668,9.70138888888889,0.9791666666666666,0.0763888888888889,0.4747155193109007,0.06028448068909931
146,KT Wiz,144,99,9,3823,1502,161,0.982,21,99,42,29.8,2018,59,82,3,0.418,9,0.6875,0.0625,26.54861111111111,10.430555555555555,1.1180555555555556,0.14583333333333334,0.47608020481599933,-0.05808020481599935
147,Kia Tigers,144,94,8,3812,1371,127,0.982,11,95,40,29.6,2018,70,74,0,0.486,5,0.6527777777777778,0.05555555555555555,26.47222222222222,9.520833333333334,0.8819444444444444,0.0763888888888889,0.4610686642599102,0.024931335740089766
148,LG Twins,144,100,7,3806,1404,121,0.981,10,100,41,29.1,2018,68,75,1,0.476,8,0.6944444444444444,0.04861111111111111,26.430555555555557,9.75,0.8402777777777778,0.06944444444444445,0.4528805512293159,0.02311944877068406
149,Lotte Giants,144,117,5,3851,1426,132,0.978,14,101,41,28.9,2018,68,74,2,0.479,7,0.8125,0.034722222222222224,26.743055555555557,9.902777777777779,0.9166666666666666,0.09722222222222222,0.5142913989587727,-0.03529139895877276
150,NC Dinos,144,107,7,3792,1401,141,0.98,19,86,46,34.8,2018,58,85,1,0.406,10,0.7430555555555556,0.04861111111111111,26.333333333333332,9.729166666666666,0.9791666666666666,0.13194444444444445,0.4337749541579292,-0.027774954157929188
151,Heroes,144,106,16,3846,1506,147,0.981,7,70,39,35.8,2018,75,69,0,0.521,4,0.7361111111111112,0.1111111111111111,26.708333333333332,10.458333333333334,1.0208333333333333,0.04861111111111111,0.507467971433277,0.013532028566722976
152,Incheon,144,116,6,3824,1434,133,0.978,6,95,39,29.1,2018,78,65,1,0.545,2,0.8055555555555556,0.041666666666666664,26.555555555555557,9.958333333333334,0.9236111111111112,0.041666666666666664,0.4774448903210988,0.06755510967890122
153,Samsung Lions,144,79,5,3856,1337,133,0.985,7,100,38,27.5,2018,68,72,4,0.486,6,0.5486111111111112,0.034722222222222224,26.77777777777778,9.284722222222221,0.9236111111111112,0.04861111111111111,0.5211148264842675,-0.03511482648426756
154,Doosan Bears,144,83,8,3851,1430,131,0.985,6,96,32,25.0,2019,88,55,1,0.615,1,0.5763888888888888,0.05555555555555555,26.743055555555557,9.930555555555555,0.9097222222222222,0.041666666666666664,0.5142913989587727,0.10070860104122725
155,Hanwha Eagles,144,106,8,3806,1488,151,0.98,10,104,49,32.0,2019,58,86,0,0.403,9,0.7361111111111112,0.05555555555555555,26.430555555555557,10.333333333333334,1.0486111111111112,0.06944444444444445,0.4528805512293159,-0.049880551229315895
156,KT Wiz,144,102,7,3831,1479,137,0.981,15,90,43,32.3,2019,71,71,2,0.5,6,0.7083333333333334,0.04861111111111111,26.604166666666668,10.270833333333334,0.9513888888888888,0.10416666666666667,0.48699768885679173,0.013002311143208267
157,Kia Tigers,144,110,5,3792,1381,126,0.979,9,116,50,30.1,2019,62,80,2,0.437,7,0.7638888888888888,0.034722222222222224,26.333333333333332,9.590277777777779,0.875,0.0625,0.4337749541579292,0.003225045842070784
